Time,API Key Name,Model,Reasoning Effort,Inbound Endpoint,IP Address,Type,Billing Mode,Input Tokens,Output Tokens,Cache Read Tokens,Cache Creation Tokens,Rate Multiplier,Billed Cost,Original Cost,First Token (ms),Duration (ms)
2026-07-16T18:52:26.730123+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,998,249,213760,0,0.3,0.035802,0.11934,9106,13345
2026-07-16T18:52:20.92135+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,4829,324,113920,0,0.3,0.0054495,0.018165,4146,10146
2026-07-16T18:52:09.386504+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,6520,661,107776,0,0.3,0.00637908,0.0212636,3544,23393
2026-07-16T18:51:43.048833+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,6139,494,102144,0,0.3,0.00579522,0.0193174,2740,11756
2026-07-16T18:51:30.560522+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,933,31,213760,0,0.3,0.0337425,0.112475,8633,9077
2026-07-16T18:51:29.672735+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,5736,179,97024,0,0.3,0.00495372,0.0165124,2795,6156
2026-07-16T18:51:20.479635+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,9817,607,87808,0,0.3,0.00667194,0.0222398,2211,13313
2026-07-16T18:51:09.739856+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1813,68,212736,0,0.3,0.0352419,0.117473,15984,18574
2026-07-16T18:51:03.775166+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,14968,888,72960,0,0.3,0.0082776,0.027592,2406,18628
2026-07-16T18:50:46.169274+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,262,249,213760,0,0.3,0.034698,0.11566,9480,14023
2026-07-16T18:50:43.710634+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1257,39,71936,0,0.3,0.00260538,0.0086846,3886,4732
2026-07-16T18:50:26.526279+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,10455,1014,61696,0,0.3,0.00681258,0.0227086,2295,23053
2026-07-16T18:50:00.677458+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1358,451,60672,0,0.3,0.00303936,0.0101312,2425,10891
2026-07-16T18:49:58.329418+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1221,31,212736,0,0.3,0.0340209,0.113403,14991,16369
2026-07-16T18:49:46.959393+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,274,969,60672,0,0.3,0.00364656,0.0121552,2612,27828
2026-07-16T18:49:30.904908+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1127,66,212736,0,0.3,0.0341949,0.113983,8614,9664
2026-07-16T18:49:24.791322+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,2232,490,58624,0,0.3,0.00331032,0.0110344,2433,11380
2026-07-16T18:49:18.354654+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,964,109,212736,0,0.3,0.0343374,0.114458,11202,14141
2026-07-16T18:49:10.307158+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,7526,138,51456,0,0.3,0.00404988,0.0134996,2539,5147
2026-07-16T18:49:01.913376+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,3955,254,47872,0,0.3,0.00307986,0.0102662,2300,7009
